# ASCII file created 2001/8/19 (16:50:52)  

[ Rich Calibrater Parameters Setup ]

Sector  Row     Column
6       96      96

[ Rich Calibrater Parameters: Sector 0 ]

Row	Column	Slope	Offset	Sigma	
64	14	1	49.4892	0.901878	
65	14	1	45.1913	0.904406	
66	14	1	61.6465	1.00133	
67	14	1	31.5099	0.855094	
68	14	1	45.6664	0.864023	
69	14	1	58.2265	0.907445	
70	14	1	50.7993	0.847646	
71	14	1	43.0308	0.898207	
72	14	1	47.1612	0.899073	
73	14	1	64.3514	0.925915	
74	14	1	87.5161	0.91007	
75	14	1	67.7173	0.883525	
76	14	1	72.9249	0.924614	
77	14	1	66.5927	0.89062	
78	14	1	51.1204	0.900734	
79	14	1	39.7731	0.969885	
80	14	1	49.2389	0.933201	
81	14	1	69.7918	1.00434	
82	14	1	90.02	0.820689	
51	15	1	69.9338	0.876551	
52	15	1	57.3114	0.91617	
53	15	1	43.9706	0.880881	
54	15	1	38.0385	0.901841	
55	15	1	28.0458	0.88752	
56	15	1	20.6332	0.891005	
57	15	1	52.1393	0.913377	
58	15	1	62.2516	0.902242	
59	15	1	31.5809	0.908367	
60	15	1	44.2116	0.909671	
61	15	1	47.0376	0.865458	
62	15	1	57.0022	0.962756	
63	15	1	47.5839	1.00275	
64	15	1	59.9706	0.905577	
65	15	1	33.518	0.859372	
66	15	1	50.9485	0.806405	
67	15	1	56.6426	0.840215	
68	15	1	54.1417	0.88611	
69	15	1	64.3209	0.903672	
70	15	1	61.0091	0.801654	
71	15	1	56.4418	0.877479	
72	15	1	53.1487	0.887606	
73	15	1	84.8577	0.948163	
74	15	1	58.3812	0.925164	
75	15	1	62.4589	0.952668	
76	15	1	40.868	0.907294	
77	15	1	47.6231	0.914663	
78	15	1	36.7659	0.854715	
79	15	1	37.5393	0.946644	
80	15	1	49.633	0.858975	
81	15	1	64.4442	0.869301	
82	15	1	80.5725	0.946832	
83	15	1	67.5247	0.919281	
49	16	1	52.9736	0.977054	
50	16	1	64.5076	0.9791	
51	16	1	57.9278	0.885221	
52	16	1	49.952	1.05957	
53	16	1	55.7004	1.06683	
54	16	1	40.8997	0.852619	
55	16	1	27.9157	0.931606	
56	16	1	17.4132	0.885038	
57	16	1	61.5065	0.85107	
58	16	1	45.9892	0.865396	
59	16	1	44.4816	0.898042	
60	16	1	54.4189	0.946458	
61	16	1	51.3195	0.844882	
62	16	1	34.8392	0.902268	
63	16	1	56.1518	0.892226	
64	16	1	44.2889	0.882215	
65	16	1	55.872	0.896967	
66	16	1	53.0926	0.855384	
67	16	1	59.4396	0.853647	
68	16	1	55.9905	0.86466	
69	16	1	70.9991	0.936952	
70	16	1	53.7158	0.930052	
71	16	1	66.3306	0.913407	
72	16	1	58.6303	0.891829	
73	16	1	80.7667	0.823844	
74	16	1	54.0113	0.927223	
75	16	1	42.1391	0.942737	
76	16	1	67.948	0.899688	
77	16	1	62.0547	0.932093	
78	16	1	43.8382	0.917292	
79	16	1	56.8129	0.940881	
80	16	1	72.505	0.895587	
81	16	1	34.9528	0.94032	
82	16	1	32.9441	0.952172	
83	16	1	52.1184	0.903952	
47	17	1	58.8671	0.872614	
48	17	1	41.5841	0.886418	
49	17	1	59.8316	0.883782	
50	17	1	62.1124	1.04459	
51	17	1	60.2233	0.868094	
52	17	1	48.7696	0.847932	
53	17	1	49.631	0.86768	
54	17	1	39.2821	0.975912	
55	17	1	42.1652	0.813368	
56	17	1	32.4395	0.891882	
57	17	1	54.701	0.868493	
58	17	1	35.8685	0.924223	
59	17	1	37.8071	0.94961	
60	17	1	31.7298	0.948528	
61	17	1	61.0056	0.819211	
62	17	1	52.8073	0.863078	
63	17	1	39.1596	0.909612	
64	17	1	60.45	0.912154	
65	17	1	53.439	0.856517	
66	17	1	45.1596	0.991986	
67	17	1	60.9862	0.845187	
68	17	1	49.5491	0.888156	
69	17	1	89.406	0.923281	
70	17	1	37.769	0.95107	
71	17	1	49.5949	0.874143	
72	17	1	39.4081	0.903358	
73	17	1	64.1088	0.905244	
74	17	1	44.6739	0.846648	
75	17	1	66.7697	0.900886	
76	17	1	69.2984	0.984147	
77	17	1	78.1192	0.805049	
78	17	1	59.9203	0.977717	
79	17	1	79.4395	0.919458	
80	17	1	69.4872	0.912642	
81	17	1	41.071	0.913113	
82	17	1	37.1549	0.883998	
83	17	1	39.7433	0.95747	
45	18	1	51.471	0.878391	
46	18	1	73.6609	0.877081	
47	18	1	52.1233	0.943387	
48	18	1	56.6146	0.860996	
49	18	1	66.8229	0.862225	
50	18	1	57.0039	0.912863	
51	18	1	43.7637	0.871631	
