# ASCII file created 2001/8/2 (19:45:48)  


[ Rich Mapping Parameters Setup ]

MaxPads MaxRows MaxCols MaxRCs MaxPorts MaxModules MaxChannels UnconnCh 
4712	96	96	2	8	5	64	88	

[ Rich Mapping Parameters ]

Col	Row	RC	Port	Module	Channel	
39	13	0	0	3	43	
36	13	0	0	3	44	
37	13	0	0	3	45	
41	16	0	0	3	46	
35	13	0	0	3	47	
39	14	0	0	3	48	
40	14	0	0	3	49	
37	14	0	0	3	50	
38	14	0	0	3	51	
35	14	0	0	3	52	
36	14	0	0	3	53	
40	15	0	0	3	54	
40	16	0	0	3	55	
38	15	0	0	3	56	
39	15	0	0	3	57	
36	15	0	0	3	58	
37	15	0	0	3	59	
34	15	0	0	3	60	
35	15	0	0	3	61	
34	16	0	0	3	62	
39	16	0	0	3	63	
56	17	0	0	4	0	
56	16	0	0	4	1	
55	16	0	0	4	2	
61	15	0	0	4	3	
60	15	0	0	4	4	
59	15	0	0	4	5	
58	15	0	0	4	6	
57	15	0	0	4	7	
56	15	0	0	4	8	
60	14	0	0	4	9	
59	14	0	0	4	10	
58	14	0	0	4	11	
55	15	0	0	4	12	
57	14	0	0	4	13	
56	14	0	0	4	14	
55	14	0	0	4	15	
54	16	0	0	4	16	
60	13	0	0	4	17	
59	13	0	0	4	18	
58	13	0	0	4	19	
57	13	0	0	4	20	
56	13	0	0	4	21	
55	13	0	0	4	22	
56	12	0	0	4	23	
57	12	0	0	4	24	
58	12	0	0	4	25	
59	12	0	0	4	26	
54	15	0	0	4	27	
54	14	0	0	4	28	
54	13	0	0	4	29	
54	12	0	0	4	30	
53	16	0	0	4	31	
57	11	0	0	4	32	
56	11	0	0	4	33	
59	11	0	0	4	34	
58	11	0	0	4	35	
52	17	0	0	4	36	
52	16	0	0	4	37	
53	15	0	0	4	38	
55	12	0	0	4	39	
53	13	0	0	4	40	
53	14	0	0	4	41	
52	14	0	0	4	42	
52	15	0	0	4	43	
53	12	0	0	4	44	
52	13	0	0	4	45	
51	15	0	0	4	46	
51	16	0	0	4	47	
50	14	0	0	4	48	
51	14	0	0	4	49	
49	11	0	0	4	50	
50	15	0	0	4	51	
49	13	0	0	4	52	
49	12	0	0	4	53	
49	15	0	0	4	54	
49	14	0	0	4	55	
50	17	0	0	4	56	
50	16	0	0	4	57	
48	13	0	0	4	58	
48	12	0	0	4	59	
48	15	0	0	4	60	
48	14	0	0	4	61	
48	16	0	0	4	62	
49	16	0	0	4	63	
45	20	0	1	0	0	
45	19	0	1	0	1	
46	19	0	1	0	2	
47	19	0	1	0	3	
44	20	0	1	0	4	
44	19	0	1	0	5	
47	18	0	1	0	6	
46	18	0	1	0	7	
45	18	0	1	0	8	
47	17	0	1	0	9	
46	17	0	1	0	10	
44	18	0	1	0	11	
44	17	0	1	0	12	
43	18	0	1	0	13	
43	20	0	1	0	14	
43	19	0	1	0	15	
42	20	0	1	0	16	
42	17	0	1	0	17	
42	18	0	1	0	18	
42	19	0	1	0	19	
40	17	0	1	0	20	
41	17	0	1	0	21	
38	16	0	1	0	22	
41	18	0	1	0	23	
38	17	0	1	0	24	
39	17	0	1	0	25	
37	17	0	1	0	26	
37	16	0	1	0	27	
36	17	0	1	0	28	
36	16	0	1	0	29	
35	17	0	1	0	30	
35	16	0	1	0	31	
